key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
3070	20	0	(S,A,sA,F) S. Shm	0	(lit) small child, (then) babe, child, youth /$gk: [[pais, neos, paidion, newteros, neanias, paidarion, neaniskos]]$/	(lit) small child, (then) babe, child, youth /$gk: [[pais, neos, paidion, newteros, neanias, paidarion, neaniskos]]$/	pais, neos, paidion, newteros, neanias, paidarion, neaniskos	584b	1	2010-03-14	2014-07-26	vagrant	vagrant	https://pishoyg.github.io/crum/3070.html	(S, A, sA, F) ϣ. ϣⲏⲙ	(S, A, sA, F) ϣ. ϣⲏⲙ	(S, A, sA, F) ϣ. ϣⲏⲙ	(S, A, sA, F) ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ	(S, A, sA, F) ϣ. ϣⲏⲙ	-	παισ, νεοσ, παιδιον, νεωτεροσ, νεανιασ, παιδαριον, νεανισκοσ	<i>lit</i> small child, <i>then</i> babe, child, youth [παισ, νεοσ, παιδιον, νεωτεροσ, νεανιασ, παιδαριον, νεανισκοσ]	lit small child, then babe, child, youth [παισ, νεοσ, παιδιον, νεωτεροσ, νεανιασ, παιδαριον, νεανισκοσ]	<i>lit</i> small child, <i>then</i> babe, child, youth	"<i>lit</i> small child, <i>then</i> babe, child, youth <span style=""opacity:0.7"">[παισ, νεοσ, παιδιον, νεωτεροσ, νεανιασ, παιδαριον, νεανισκοσ]</span>"	"<i>lit</i> small child, <i>then</i> babe, child, youth <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CF%83"">παισ</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%BF%CF%83"">νεοσ</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B9%CE%BF%CE%BD"">παιδιον</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CF%89%CF%84%CE%B5%CF%81%CE%BF%CF%83"">νεωτεροσ</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%B1%CE%BD%CE%B9%CE%B1%CF%83"">νεανιασ</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B1%CF%81%CE%B9%CE%BF%CE%BD"">παιδαριον</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%B1%CE%BD%CE%B9%CF%83%CE%BA%CE%BF%CF%83"">νεανισκοσ</a>]</span>"	lit small child, then babe, child, youth	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=584b	584	b	ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ					ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ			ϣ. ϣⲏⲙ	ϣ. ϣⲏⲙ							0
8996	20	3070	(S,A,sA) Seere Shm	0	female child, maiden /$gk: [[pais, paidion, paidiskh, newtera, neanis, korasion]]$/	female child, maiden /$gk: [[pais, paidion, paidiskh, newtera, neanis, korasion]]$/	pais, paidion, paidiskh, newtera, neanis, korasion	585a	2	2014-07-26	2014-07-26	vagrant	vagrant	https://pishoyg.github.io/crum/8996.html	(S, A, sA) ϣⲉⲉⲣⲉ ϣⲏⲙ	(S, A, sA) ϣⲉⲉⲣⲉ ϣⲏⲙ	(S, A, sA) ϣⲉⲉⲣⲉ ϣⲏⲙ	(S, A, sA) ϣⲉⲉⲣⲉ ϣⲏⲙ	ϣⲉⲉⲣⲉ ϣⲏⲙ	(S, A, sA) ϣⲉⲉⲣⲉ ϣⲏⲙ	-	παισ, παιδιον, παιδισκη, νεωτερα, νεανισ, κορασιον	female child, maiden [παισ, παιδιον, παιδισκη, νεωτερα, νεανισ, κορασιον]	female child, maiden [παισ, παιδιον, παιδισκη, νεωτερα, νεανισ, κορασιον]	female child, maiden	"female child, maiden <span style=""opacity:0.7"">[παισ, παιδιον, παιδισκη, νεωτερα, νεανισ, κορασιον]</span>"	"female child, maiden <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CF%83"">παισ</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B9%CE%BF%CE%BD"">παιδιον</a>, <a href=""https://logeion.uchicago.edu/%CF%80%CE%B1%CE%B9%CE%B4%CE%B9%CF%83%CE%BA%CE%B7"">παιδισκη</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CF%89%CF%84%CE%B5%CF%81%CE%B1"">νεωτερα</a>, <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%B1%CE%BD%CE%B9%CF%83"">νεανισ</a>, <a href=""https://logeion.uchicago.edu/%CE%BA%CE%BF%CF%81%CE%B1%CF%83%CE%B9%CE%BF%CE%BD"">κορασιον</a>]</span>"	female child, maiden	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣⲉⲉⲣⲉ ϣⲏⲙ	ϣⲉⲉⲣⲉ ϣⲏⲙ					ϣⲉⲉⲣⲉ ϣⲏⲙ	ϣⲉⲉⲣⲉ ϣⲏⲙ	ϣⲉⲉⲣⲉ ϣⲏⲙ	ϣⲉⲉⲣⲉ ϣⲏⲙ											1
8997	20	3070	S. nHoout,S. nsHime	0	/$gk: [[gunh neanis]]$/	/$gk: [[gunh neanis]]$/	gunh neanis	585a	3	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/8997.html	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	-	γυνη νεανισ	[γυνη νεανισ]	[γυνη νεανισ]		"<span style=""opacity:0.7"">[γυνη νεανισ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B3%CF%85%CE%BD%CE%B7"">γυνη</a> <a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%B1%CE%BD%CE%B9%CF%83"">νεανισ</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ, ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛϩⲟⲟⲩⲧ	1
8998	20	3070	(S,A,B) mntS.	0	/$gk: [[neoths]]$/	/$gk: [[neoths]]$/	neoths	585a	4	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/8998.html	(S, A, B) ⲙⲛⲧϣ.	(S, A, B) ⲙⲛⲧϣ.	(S, A, B) ⲙⲛⲧϣ.	(S, A, B) ⲙⲛⲧϣ.	ⲙⲛⲧϣ.	(S, A, B) ⲙⲛⲧϣ.	-	νεοτησ	[νεοτησ]	[νεοτησ]		"<span style=""opacity:0.7"">[νεοτησ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CE%BF%CF%84%CE%B7%CF%83"">νεοτησ</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ⲙⲛⲧϣ.	ⲙⲛⲧϣ.					ⲙⲛⲧϣ.	ⲙⲛⲧϣ.			ⲙⲛⲧϣ.	ⲙⲛⲧϣ.									1
8999	20	3070	(S) o nS.	0	/$gk: [[newteros einai]]$/	/$gk: [[newteros einai]]$/	newteros einai	585a	5	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/8999.html	(S) ⲟ ⲛϣ.	(S) ⲟ ⲛϣ.	(S) ⲟ ⲛϣ.	(S) ⲟ ⲛϣ.	ⲟ ⲛϣ.	(S) ⲟ ⲛϣ.	-	νεωτεροσ ειναι	[νεωτεροσ ειναι]	[νεωτεροσ ειναι]		"<span style=""opacity:0.7"">[νεωτεροσ ειναι]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BD%CE%B5%CF%89%CF%84%CE%B5%CF%81%CE%BF%CF%83"">νεωτεροσ</a> <a href=""https://logeion.uchicago.edu/%CE%B5%CE%B9%CE%BD%CE%B1%CE%B9"">ειναι</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ⲟ ⲛϣ.	ⲟ ⲛϣ.																			1
3071	20	0	(S,B,F) atS.	0	without child /$gk: [[ateknos]]$/	without child /$gk: [[ateknos]]$/		585b	6	2010-03-14	2014-07-26	vagrant	vagrant	https://pishoyg.github.io/crum/3071.html	(S, B, F) ⲁⲧϣ.	(S, B, F) ⲁⲧϣ.	(S, B, F) ⲁⲧϣ.	(S, B, F) ⲁⲧϣ.	ⲁⲧϣ.	(S, B, F) ⲁⲧϣ.	-		without child [ατεκνοσ]	without child [ατεκνοσ]	without child	"without child <span style=""opacity:0.7"">[ατεκνοσ]</span>"	"without child <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%84%CE%B5%CE%BA%CE%BD%CE%BF%CF%83"">ατεκνοσ</a>]</span>"	without child	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲁⲧϣ.	ⲁⲧϣ.									ⲁⲧϣ.	ⲁⲧϣ.	ⲁⲧϣ.	ⲁⲧϣ.							0
3074	20	3071	mnta.	0	 /$gk: [[ateknia]]$/	 /$gk: [[ateknia]]$/	ateknia	585b	7	2010-03-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/3074.html	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	-	ατεκνια	[ατεκνια]	[ατεκνια]		"<span style=""opacity:0.7"">[ατεκνια]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%84%CE%B5%CE%BA%CE%BD%CE%B9%CE%B1"">ατεκνια</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	ⲙⲛⲧⲁ.	1
9016	20	3071	r na.,o na.	0	/$gk: [[apoteknousqai]]$/	/$gk: [[apoteknousqai]]$/	apoteknousqai	585b	8	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9016.html	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	-	αποτεκνουσθαι	[αποτεκνουσθαι]	[αποτεκνουσθαι]		"<span style=""opacity:0.7"">[αποτεκνουσθαι]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%80%CE%BF%CF%84%CE%B5%CE%BA%CE%BD%CE%BF%CF%85%CF%83%CE%B8%CE%B1%CE%B9"">αποτεκνουσθαι</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	ⲣ ⲛⲁ., ⲟ ⲛⲁ.	ⲣ ⲛⲁ.	1
3072	20	0	(S,B,F) mntS.,metS.	0	 /$gk: [[uioqesia]]$/	 /$gk: [[uioqesia]]$/	uioqesia	585b	9	2010-03-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/3072.html	(S, B, F) ⲙⲛⲧϣ., ⲙⲉⲧϣ.	(S, B, F) ⲙⲛⲧϣ., ⲙⲉⲧϣ.	(S, B, F) ⲙⲛⲧϣ., ⲙⲉⲧϣ.	(S, B, F) ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	(S, B, F) ⲙⲛⲧϣ., ⲙⲉⲧϣ.	-	υιοθεσια	[υιοθεσια]	[υιοθεσια]		"<span style=""opacity:0.7"">[υιοθεσια]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%85%CE%B9%CE%BF%CE%B8%CE%B5%CF%83%CE%B9%CE%B1"">υιοθεσια</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ.									ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ.	ⲙⲛⲧϣ., ⲙⲉⲧϣ.	ⲙⲛⲧϣ.							0
9017	20	3072	(S) r tm.	0	act as son	act as son		585b	10	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9017.html	(S) ⲣ ⲧⲙ.	(S) ⲣ ⲧⲙ.	(S) ⲣ ⲧⲙ.	(S) ⲣ ⲧⲙ.	ⲣ ⲧⲙ.	(S) ⲣ ⲧⲙ.	-		act as son	act as son	act as son	act as son	act as son	act as son	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲣ ⲧⲙ.	ⲣ ⲧⲙ.																			1
3073	20	0	(S,B) r nS.,o nS.	0	be child	be child		585b	11	2010-03-14	1900-01-01	vagrant		https://pishoyg.github.io/crum/3073.html	(S, B) ⲣ ⲛϣ., ⲟ ⲛϣ.	(S, B) ⲣ ⲛϣ., ⲟ ⲛϣ.	(S, B) ⲣ ⲛϣ., ⲟ ⲛϣ.	(S, B) ⲣ ⲛϣ., ⲟ ⲛϣ.	ⲣ ⲛϣ., ⲟ ⲛϣ.	(S, B) ⲣ ⲛϣ., ⲟ ⲛϣ.	-		be child	be child	be child	be child	be child	be child	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585b	585	b	ⲣ ⲛϣ., ⲟ ⲛϣ.	ⲣ ⲛϣ.									ⲣ ⲛϣ., ⲟ ⲛϣ.	ⲣ ⲛϣ.									0
8732	20	0		99	other combinations	other combinations		585a	12	2010-09-28	1900-01-01	vagrant		https://pishoyg.github.io/crum/8732.html							HEADER		other combinations	other combinations	other combinations	other combinations	other combinations	other combinations	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a																					0
8733	20	8732	S. ouwt,S. nouwt,S. mmauatF	0	 /$gk: [[monogenhs]]$/	 /$gk: [[monogenhs]]$/	monogenhs	585a	13	2010-09-28	2014-07-26	vagrant	vagrant	https://pishoyg.github.io/crum/8733.html	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	-	μονογενησ	[μονογενησ]	[μονογενησ]		"<span style=""opacity:0.7"">[μονογενησ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BC%CE%BF%CE%BD%CE%BF%CE%B3%CE%B5%CE%BD%CE%B7%CF%83"">μονογενησ</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	ϣ. ⲟⲩⲱⲧ, ϣ. ⲛⲟⲩⲱⲧ, ϣ. ⲙⲙⲁⲩⲁⲧϥ	ϣ. ⲟⲩⲱⲧ	1
9000	20	8732	S. nHoout	0	/$gk: [[arshn]]$/	/$gk: [[arshn]]$/	arshn	585a	14	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9000.html	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	-	αρσην	[αρσην]	[αρσην]		"<span style=""opacity:0.7"">[αρσην]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%81%CF%83%CE%B7%CE%BD"">αρσην</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	ϣ. ⲛϩⲟⲟⲩⲧ	1
9001	20	8732	S. nsHime	0	/$gk: [[gennhtos gunaikos]]$/	/$gk: [[gennhtos gunaikos]]$/	gennhtos gunaikos	585a	15	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9001.html	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	-	γεννητοσ γυναικοσ	[γεννητοσ γυναικοσ]	[γεννητοσ γυναικοσ]		"<span style=""opacity:0.7"">[γεννητοσ γυναικοσ]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B3%CE%B5%CE%BD%CE%BD%CE%B7%CF%84%CE%BF%CF%83"">γεννητοσ</a> <a href=""https://logeion.uchicago.edu/%CE%B3%CF%85%CE%BD%CE%B1%CE%B9%CE%BA%CE%BF%CF%83"">γυναικοσ</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	ϣ. ⲛⲥϩⲓⲙⲉ	1
9002	20	8732	S. koui	0				585a	16	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9002.html	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	ϣ. ⲕⲟⲩⲓ	1
9003	20	8732	S. o	0				585a	17	2014-07-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/9003.html	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	-								https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=585a	585	a	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	ϣ. ⲟ	1
